Date,Adj Close,Close,High,Low,Open,Volume
2015-08-21 00:00:00+00:00,1443.704346,2125,2137.5,2100,2125,136115600
2015-08-24 00:00:00+00:00,1388.503906,2043.75,2087.5,2031.25,2068.75,129089600
2015-08-25 00:00:00+00:00,1443.704346,2125,2162.5,2050,2050,296784800
2015-08-26 00:00:00+00:00,1452.196655,2137.5,2168.75,2087.5,2137.5,202368000
2015-08-27 00:00:00+00:00,1528.628052,2250,2256.25,2175,2187.5,219296800
2015-08-28 00:00:00+00:00,1541.366821,2268.75,2318.75,2243.75,2300,174394000
2015-08-31 00:00:00+00:00,1545.612915,2275,2281.25,2237.5,2243.75,107618400
2015-09-01 00:00:00+00:00,1481.920044,2181.25,2250,2168.75,2250,74196800
2015-09-02 00:00:00+00:00,1494.658691,2200,2218.75,2150,2175,66349600
2015-09-03 00:00:00+00:00,1498.904907,2206.25,2237.5,2193.75,2212.5,95144800
2015-09-04 00:00:00+00:00,1498.904907,2206.25,2218.75,2181.25,2200,41096400
2015-09-07 00:00:00+00:00,1486.16626,2187.5,2206.25,2175,2200,54352800
2015-09-08 00:00:00+00:00,1494.658691,2200,2206.25,2175,2187.5,57412800
2015-09-09 00:00:00+00:00,1477.673828,2175,2231.25,2150,2218.75,135401200
2015-09-10 00:00:00+00:00,1460.689087,2150,2162.5,2137.5,2162.5,70959200
2015-09-11 00:00:00+00:00,1469.181641,2162.5,2175,2162.5,2175,46889600
2015-09-14 00:00:00+00:00,1469.181641,2162.5,2175,2150,2175,41073600
2015-09-15 00:00:00+00:00,1477.673828,2175,2175,2150,2156.25,32625200
2015-09-16 00:00:00+00:00,1469.181641,2162.5,2181.25,2150,2175,32254800
2015-09-17 00:00:00+00:00,1469.181641,2162.5,2181.25,2150,2156.25,112392000
2015-09-18 00:00:00+00:00,1469.181641,2162.5,2187.5,2156.25,2175,94615200
2015-09-21 00:00:00+00:00,1460.689087,2150,2175,2150,2162.5,66774000
2015-09-22 00:00:00+00:00,1460.689087,2150,2162.5,2143.75,2150,34276400
2015-09-23 00:00:00+00:00,1367.272949,2012.5,2125,2006.25,2125,75746400
2015-09-25 00:00:00+00:00,1312.07251,1931.25,2000,1931.25,2000,138808000
2015-09-28 00:00:00+00:00,1278.103027,1881.25,1943.75,1881.25,1931.25,63378800
2015-09-29 00:00:00+00:00,1320.564819,1943.75,1943.75,1787.5,1825,63959200
2015-09-30 00:00:00+00:00,1346.041992,1981.25,2000,1956.25,1962.5,118378400
2015-10-01 00:00:00+00:00,1354.53418,1993.75,2031.25,1981.25,2000,63633600
2015-10-02 00:00:00+00:00,1303.5802,1918.75,2000,1918.75,1993.75,89269200
2015-10-05 00:00:00+00:00,1392.750122,2050,2050,1950,1962.5,56322400
2015-10-06 00:00:00+00:00,1511.643433,2225,2231.25,2075,2075,179906000
2015-10-07 00:00:00+00:00,1515.889404,2231.25,2268.75,2175,2250,118109200
2015-10-08 00:00:00+00:00,1511.643433,2225,2243.75,2200,2231.25,108926400
2015-10-09 00:00:00+00:00,1545.612915,2275,2318.75,2256.25,2262.5,177488400
